GRIDCODE|state_code|county_code|CL_star|obj_star_per_dollar_liability|K_star_interval_codes|w_star|PF_star|county_base_value|expected_profit_per_acre
23839|31|147|0.85|0.08119990603514134|625,635|625:0.4000,635:0.6000|1.5|56.3|5.828732254967533
24112|31|57|0.85|0.11361366080977849|625,634|625:0.4000,634:0.6000|1.5|23.4|3.3896635702597404
24113|31|57|0.85|0.11632072116119177|625,634|625:0.4000,634:0.6000|1.5|23.4|3.4704287158441556
24114|31|57|0.85|0.11020743926661573|626,634|626:0.4000,634:0.6000|1.5|23.4|3.28803895051948
24115|31|57|0.85|0.10317840641711232|625,634|625:0.4000,634:0.6000|1.5|23.4|3.0783277554545454
24115|31|87|0.85|0.10317840641711232|625,634|625:0.4000,634:0.6000|1.5|23.4|3.0783277554545454
24116|31|87|0.85|0.11229213750954929|626,634|626:0.4000,634:0.6000|1.5|23.4|3.3502359225974025
24117|31|87|0.85|0.10455207486631017|625,634|625:0.4000,634:0.6000|1.5|23.4|3.1193111536363634
24117|31|145|0.85|0.10455207486631017|625,634|625:0.4000,634:0.6000|1.5|23.4|3.1193111536363634
24118|31|145|0.85|0.11002314362108481|625,635|625:0.4000,635:0.6000|1.5|23.4|3.2825404899350645
24119|31|145|0.85|0.1088270443086326|625,635|625:0.4000,635:0.6000|1.5|23.4|3.2468548669480533
24120|31|65|0.85|0.11408067608861727|633,635|633:0.4000,635:0.6000|1.5|42.9|6.239927780357142
24120|31|145|0.85|0.11408067608861727|633,635|633:0.4000,635:0.6000|1.5|23.4|3.403596971103896
24121|31|65|0.85|0.1148096951871658|626,635|626:0.4000,635:0.6000|1.5|42.9|6.2798033025
24122|31|65|0.85|0.12362773949579833|626,635|626:0.4000,635:0.6000|1.5|42.9|6.762128281071428
24122|31|83|0.85|0.12362773949579833|626,635|626:0.4000,635:0.6000|1.5|42.9|6.762128281071428
24123|31|83|0.85|0.13054246906035144|626,635|626:0.4000,635:0.6000|1.5|42.9|7.140346701428571
24124|31|61|0.85|0.12657325362872424|626,635|626:0.4000,635:0.6000|1.5|42.9|6.923240540357143
24124|31|83|0.85|0.12657325362872424|626,635|626:0.4000,635:0.6000|1.5|42.9|6.923240540357143
24125|31|61|0.85|0.11559682352941178|626,635|626:0.4000,635:0.6000|1.5|42.9|6.322857255
24126|31|61|0.85|0.109983423223835|626,635|626:0.4000,635:0.6000|1.5|42.9|6.015818291785714
24126|31|181|0.85|0.109983423223835|626,635|626:0.4000,635:0.6000|1.5|42.9|6.015818291785714
24127|31|129|0.85|0.10158459969442327|626,635|626:0.4000,635:0.6000|1.5|56.3|7.291996527564938
24127|31|181|0.85|0.10158459969442327|626,635|626:0.4000,635:0.6000|1.5|42.9|5.556423641785716
24128|31|129|0.85|0.09953689610389611|626,635|626:0.4000,635:0.6000|1.5|56.3|7.145007244577923
24129|31|129|0.85|0.10206184110007643|626,635|626:0.4000,635:0.6000|1.5|56.3|7.3262541087662365
24129|31|169|0.85|0.10206184110007643|626,635|626:0.4000,635:0.6000|1.5|56.3|7.3262541087662365
